Date,Predicted,Actual
2018-01-01,0.511233925819397,0.49
2018-01-02,0.48614487051963806,0.5
2018-01-03,0.49647000432014465,0.53
2018-01-04,0.5345737934112549,0.52
2018-01-05,0.4970337450504303,0.6
2018-01-08,0.5269141793251038,0.55
2018-01-09,0.5021601915359497,0.46
2018-01-10,0.5105625987052917,0.5
2018-01-11,0.578053891658783,0.54
2018-01-12,0.47593507170677185,0.49
2018-01-15,0.4916243851184845,0.51
2018-01-16,0.508373498916626,0.48
2018-01-17,0.48723843693733215,0.53
2018-01-18,0.47657153010368347,0.5
2018-01-19,0.5031885504722595,0.55
2018-01-22,0.5081323981285095,0.49
2018-01-23,0.48174381256103516,0.49
2018-01-24,0.5301817655563354,0.46
2018-01-25,0.5364958643913269,0.45
2018-01-30,0.48441803455352783,0.47
2018-01-31,0.5481229424476624,0.43
2018-02-01,0.5084219574928284,0.53
2018-02-05,0.5019813776016235,0.44
2018-02-06,0.5230147838592529,0.45
2018-02-07,0.5440249443054199,0.52
2018-02-08,0.5143881440162659,0.49
2018-02-09,0.5259385704994202,0.47
2018-02-12,0.4852776825428009,0.51
2018-02-14,0.5411229729652405,0.49
2018-02-15,0.4916727840900421,0.49
2018-02-16,0.4850960969924927,0.48
2018-02-19,0.5005267858505249,0.47
2018-02-20,0.5551722645759583,0.51
2018-02-21,0.4712209403514862,0.52
2018-02-22,0.5157333612442017,0.49
2018-02-23,0.5125176906585693,0.5
2018-02-26,0.503847599029541,0.5700000000000001
2018-02-27,0.5005632042884827,0.49
2018-02-28,0.530576765537262,0.51
2018-03-01,0.5038228034973145,0.53
2018-03-05,0.4825280010700226,0.47
2018-03-06,0.5275318622589111,0.49
2018-03-07,0.47534188628196716,0.47
2018-03-08,0.5067033171653748,0.55
2018-03-09,0.5706939697265625,0.51
2018-03-12,0.47909459471702576,0.48
2018-03-13,0.5100558996200562,0.51
2018-03-14,0.49018922448158264,0.49
2018-03-15,0.5611375570297241,0.56
2018-03-16,0.5541807413101196,0.46
2018-03-19,0.5377919673919678,0.5
2018-03-20,0.4892107844352722,0.5
2018-03-21,0.49790990352630615,0.52
2018-03-22,0.49688664078712463,0.48
2018-03-23,0.48504823446273804,0.49
2018-03-26,0.522712767124176,0.56
2018-03-27,0.5047912001609802,0.63
2018-03-28,0.5679689645767212,0.49
2018-04-02,0.4923091530799866,0.6
2018-04-03,0.5176113247871399,0.46
2018-04-04,0.45379766821861267,0.53
2018-04-05,0.44681647419929504,0.5700000000000001
2018-04-06,0.46935197710990906,0.52
2018-04-09,0.47874683141708374,0.58
2018-04-10,0.49177855253219604,0.48
2018-04-11,0.4843252897262573,0.48
2018-04-12,0.5492733120918274,0.55
2018-04-13,0.48608577251434326,0.45
2018-04-16,0.5005219578742981,0.5
2018-04-17,0.502774178981781,0.46
2018-04-18,0.5387724041938782,0.54
2018-04-19,0.5068078637123108,0.48
2018-04-20,0.46939584612846375,0.51
2018-04-23,0.5221136212348938,0.51
2018-04-24,0.573509693145752,0.67
2018-04-25,0.5088683366775513,0.51
2018-04-26,0.5542787313461304,0.65
2018-04-27,0.4926951229572296,0.48
2018-04-30,0.503983199596405,0.47
2018-05-02,0.47606903314590454,0.46
2018-05-03,0.5192580223083496,0.47
2018-05-04,0.49978116154670715,0.44
2018-05-07,0.49638065695762634,0.48
2018-05-08,0.5120673179626465,0.46
2018-05-09,0.5022395253181458,0.65
2018-05-10,0.5616025328636169,0.54
2018-05-11,0.46957167983055115,0.52
2018-05-14,0.6470324397087097,0.46
2018-05-15,0.48985978960990906,0.5
2018-05-16,0.4679577350616455,0.52
2018-05-17,0.47394925355911255,0.48
2018-05-18,0.4666062891483307,0.49
2018-05-21,0.566813588142395,0.56
2018-05-22,0.5251529216766357,0.47
2018-05-23,0.5008701682090759,0.5700000000000001
2018-05-24,0.8714142441749573,0.46
2018-05-25,0.5084190368652344,0.5
2018-05-28,0.4881044626235962,0.47
2018-05-29,0.520336925983429,0.49
2018-05-30,0.4922819137573242,0.53
2018-05-31,0.5162298083305359,0.53
2018-06-01,0.48949509859085083,0.5
2018-06-04,0.5100022554397583,0.51
2018-06-05,0.5405474305152893,0.47
2018-06-06,0.5094142556190491,0.54
2018-06-07,0.4872162938117981,0.52
2018-06-08,0.5263209342956543,0.49
2018-06-11,0.5170400738716125,0.49
2018-06-12,0.48925644159317017,0.6
2018-06-13,0.4432060122489929,0.48
2018-06-15,0.47439080476760864,0.47
2018-06-18,0.6333666443824768,0.5
2018-06-19,0.4932534992694855,0.52
2018-06-20,0.4458144009113312,0.48
2018-06-21,0.5041340589523315,0.44
2018-06-22,0.5328967571258545,0.47
2018-06-25,0.49949023127555847,0.54
2018-06-26,0.495758056640625,0.49
2018-06-27,0.5113593339920044,0.45
2018-06-28,0.5617935061454773,0.48
2018-06-29,0.5601368546485901,0.48
2018-07-02,0.49494820833206177,0.54
2018-07-03,0.4481261968612671,0.52
2018-07-04,0.5180663466453552,0.54
2018-07-05,0.5086745619773865,0.47
2018-07-06,0.5109321475028992,0.54
2018-07-09,0.4841029644012451,0.37
2018-07-10,0.5063254833221436,0.51
2018-07-11,0.49531587958335876,0.5
2018-07-12,0.5285565853118896,0.54
2018-07-13,0.45587870478630066,0.46
2018-07-16,0.49048489332199097,0.5
2018-07-17,0.5041382908821106,0.5
2018-07-18,0.5598104596138,0.5
2018-07-19,0.5837642550468445,0.48
2018-07-20,0.4344767928123474,0.51
2018-07-23,0.5326855778694153,0.54
2018-07-24,0.4883235692977905,0.5
2018-07-25,0.5504220724105835,0.49
2018-07-26,0.42993050813674927,0.51
2018-07-27,0.5602936744689941,0.49
2018-07-30,0.5095198154449463,0.52
2018-07-31,0.5439661145210266,0.52
2018-08-01,0.5144832730293274,0.5
2018-08-02,0.5319554805755615,0.56
2018-08-03,0.45602479577064514,0.5
2018-08-06,0.5079600214958191,0.5
2018-08-07,0.5053521990776062,0.51
2018-08-08,0.5264874696731567,0.48
2018-08-09,0.48292192816734314,0.47
2018-08-10,0.5338683724403381,0.7
2018-08-13,0.4843505024909973,0.49
2018-08-14,0.5038341283798218,0.48
2018-08-16,0.46131572127342224,0.56
2018-08-17,0.6227740049362183,0.49
2018-08-20,0.5092715620994568,0.48
2018-08-21,0.5073338150978088,0.55
2018-08-23,0.5457025170326233,0.51
2018-08-24,0.527834415435791,0.5
2018-08-27,0.41688019037246704,0.59
2018-08-28,0.5294439196586609,0.49
2018-08-29,0.5571552515029907,0.54
2018-08-30,0.47451362013816833,0.53
2018-08-31,0.4876214265823364,0.49
2018-09-03,0.46195417642593384,0.48
2018-09-04,0.45761218667030334,0.46
2018-09-05,0.5715383887290955,0.45
2018-09-06,0.4779399335384369,0.43
2018-09-07,0.5127540230751038,0.56
2018-09-10,0.49606138467788696,0.46
2018-09-11,0.4285581707954407,0.53
2018-09-12,0.48440420627593994,0.53
2018-09-14,0.5172972679138184,0.5
2018-09-17,0.4846608340740204,0.46
2018-09-18,0.4924338161945343,0.48
2018-09-19,0.529834508895874,0.5
2018-09-21,0.5555398464202881,0.41
2018-09-24,0.5321601033210754,0.41
2018-09-25,0.4803467392921448,0.53
2018-09-26,0.5826819539070129,0.48
2018-09-27,0.45684579014778137,0.46
