Date,Open,High,Low,Close,Adj Close,Volume,SMA_9,SMA_21,EMA_9,EMA_21,DEMA_9,DEMA_21,MACD_Line,MACD_Signal_Line,RSI_14,Stoch_Oscillator_K,Stoch_Oscillator_D,BB_middle,BB_upper,BB_lower,ADX,ADX+DI,ADX-DI,CMF,OBV,CCI,Williams_%R,ATR,Target
2017-02-17,1335.0,1365.8499755859375,1327.3499755859375,1338.050048828125,1270.55322265625,1855056,1323.7833387586809,1288.5690511067708,1319.3893691645935,1284.969931077231,1337.1780360639907,1329.3173326280903,44.67025787018429,50.566375008317614,69.53952834816856,77.7299912095251,82.18163795296333,1291.9800048828124,1367.0121546744006,1216.9478550912245,70.37451247966099,33.56475798478522,7.321508578655217,0.1977738281835323,21628865.0,106.68042959984822,-21.50034223134839,28.46522441601384,0.0
2017-02-20,1336.0,1342.3499755859375,1327.25,1336.449951171875,1269.0338134765625,344125,1325.138888888889,1294.097621372768,1322.80148556605,1289.6499329040166,1339.7621122067326,1334.220299610967,43.32057959356371,49.11721592536684,68.90306588130069,77.56767968410087,78.80495195923584,1297.7900024414062,1367.512851783043,1228.0671530997693,69.8035715752633,32.12928476830129,7.036703441275265,0.206049155142309,21284740.0,84.26109062792541,-24.53068869670435,27.427001276688625,0.49
2017-02-21,1339.699951171875,1347.4000244140625,1325.0,1331.199951171875,1264.04833984375,1661851,1326.4666612413191,1299.3809523809523,1324.4811786872149,1293.427207292004,1339.3934344966929,1337.3796082874017,41.35065411081428,47.563903562456325,66.74455425737793,72.34943848202043,75.88236979188213,1302.7875,1366.8117637035211,1238.763236296479,69.41481794956859,31.51632361403893,6.586680066075804,0.184137106948218,19622889.0,77.62519352022777,-36.92065362588593,27.03892804343421,0.48
2017-02-22,1334.0,1339.699951171875,1321.949951171875,1326.550048828125,1259.633056640625,1723289,1328.9722222222222,1303.9190499441963,1324.8949527153968,1296.4383747043785,1337.1557765855248,1339.1325278023533,38.965100293651176,45.8441429086953,64.80806924353683,65.55779728253701,71.82497181621943,1306.5375,1366.793062462081,1246.2819375379188,68.71972083229511,29.88530803276484,7.135074371365586,0.1041356124444738,17899600.0,61.3568544744355,-41.87526582979869,26.3259536821538,0.48
2017-02-23,1332.4000244140625,1348.0,1329.050048828125,1340.75,1273.11669921875,2590362,1331.0,1308.1666666666667,1328.0659621723175,1300.4667042767078,1340.4114288339565,1342.9416885224389,37.78478955837477,44.2322722386312,67.87348652918813,61.62664505643264,66.51129360699669,1310.304998779297,1369.208286218514,1251.4017113400798,68.31309636436725,30.441195606997045,6.684852079583955,0.0857033304165771,20489962.0,83.09060217871452,-36.32414537501744,25.95367770696072,0.55
2017-02-27,1340.0,1347.9000244140625,1317.550048828125,1319.300048828125,1252.7489013671875,1919392,1328.7388916015625,1310.7333344959077,1326.3127795034793,1302.1788265086548,1334.7866066977197,1342.3489233065438,34.71834157191597,42.32948610528816,59.44947977439606,51.4781783178336,59.55420688560108,1313.6025024414062,1366.4561721458408,1260.7488327369715,66.70533149309391,27.771035600504312,9.422136371083951,-0.0128912346553681,18570570.0,48.548840726998286,-67.36605384168305,26.28768557522716,0.43
2017-02-28,1324.0,1324.0,1309.050048828125,1312.5999755859375,1246.38671875,704053,1326.7611083984375,1313.5547630673364,1323.570218719971,1303.1262036974986,1328.155231848557,1340.5057255036195,31.38572443987869,40.14073377220626,57.06693526191696,39.74918163397619,50.95133500274748,1317.2475036621097,1357.8461472456063,1276.6488600786126,64.42398716657124,26.536278019787773,11.531160466994338,4.2815247331608416e-05,17866517.0,-6.779858254406416,-77.06225588137093,25.43020175039421,0.48
2017-03-01,1320.5,1334.8499755859375,1315.050048828125,1326.199951171875,1259.30078125,807113,1327.8444417317708,1317.6738106863838,1324.096165210352,1305.2238171042602,1328.184932905525,1341.1121218432445,29.50192588528193,38.012972194821394,60.52518483252961,32.73034228574827,41.319234079186025,1320.9549987792968,1348.5077739673077,1293.4022235912862,62.77709538843782,28.01491684579033,10.764079104188015,0.0161920614986676,18673630.0,27.131800700241325,-57.38066341970121,25.190686552207435,0.55
2017-03-02,1335.0,1335.0,1303.6500244140625,1306.449951171875,1240.547119140625,633250,1326.3944363064236,1320.2642822265625,1320.5669224026565,1305.3352838376795,1321.0145423126387,1338.0623488125918,26.11431247771725,35.633240251400565,53.75366471471911,23.35285806567015,31.94412732846488,1320.8899963378906,1348.5729044574862,1293.207088218295,60.26240762917734,25.44637732123769,13.111176822102973,-0.0366570690523263,18040380.0,-44.4787335522013,-95.49850650191742,25.652774494532768,0.43
2017-03-03,1307.699951171875,1308.0,1287.550048828125,1299.199951171875,1233.6629638671875,700768,1322.0777587890625,1319.8571370442708,1316.2935281565,1304.7775263226065,1313.232908687561,1334.0223512860969,22.58425282816961,33.02344276675438,51.47690064326841,20.666463683484952,25.5832213449678,1321.6499938964844,1345.8564034340538,1297.443584358915,56.73619140230311,23.906611447101888,17.08170602911038,-0.1053399741153571,17339612.0,-163.65134992596504,-85.12143902792653,25.263841384409687,0.47
