Date,Open,High,Low,Close,Adj Close,Volume,SMA_9,SMA_21,EMA_9,EMA_21,DEMA_9,DEMA_21,MACD_Line,MACD_Signal_Line,RSI_14,Stoch_Oscillator_K,Stoch_Oscillator_D,BB_middle,BB_upper,BB_lower,ADX,ADX+DI,ADX-DI,PSAR,CMF,OBV,CCI,Williams_%R,ATR
2017-08-10,257.5,275.3500061035156,251.0,271.3999938964844,269.86737060546875,6399422,282.43055555555554,292.0357142857143,281.20868198846335,290.7961038696817,274.0753361827784,287.5629283630298,,,38.11812896162348,49.61842701021419,48.104483978359134,289.35874938964844,306.7817289302122,271.9357698490847,,9.299447187792428,37.09932987926121,,0.02765394237050996,-8056562.0,-187.24356207064992,-59.78402782464902,17.088301314249883
2017-08-11,266.0,273.92498779296875,262.57501220703125,270.75,269.2210693359375,1678474,279.70277913411456,288.4726184663318,279.1169455907707,288.97373079061975,271.7368798280686,284.37777753087994,,,37.74634294677431,41.88625261541577,47.86657301790857,287.9262496948242,306.4854465278866,269.3670528617618,,8.743896264974824,34.883008141621346,,-0.16624348524769006,-9735036.0,-136.86566718954273,-60.90712742980562,16.58730689256699
2017-08-14,272.6000061035156,277.5,268.5,270.20001220703125,268.6741943359375,1176194,277.1750013563368,287.08214314778644,277.33355891402283,287.26702910120264,270.00279696246287,281.5373427837872,,,37.41381972572532,39.72447553641956,43.74305172068318,286.5337509155273,306.00253259712576,267.0649692339289,,10.24755708807342,33.18982487684147,,0.08440084493969455,-10911230.0,-99.40616269544371,-60.13541813628669,15.935237637583839
2017-08-16,272.54998779296875,275.8999938964844,270.1499938964844,272.04998779296875,270.5137634277344,975976,275.06944444444446,285.8440479096912,276.27684468981204,285.883661709545,269.5668637491954,279.4172492467513,-11.433161932853238,,39.349264566895926,41.88011914819281,41.163615766676045,285.4137496948242,305.49952300578343,265.327976383865,,9.916385213987812,32.11722421596502,,0.009781658314750835,-9935254.0,-84.1149574076271,-53.31709698932927,15.072419259642336
2017-08-17,273.20001220703125,276.25,271.04998779296875,271.75,270.21539306640625,651746,274.2361111111111,284.76309494745163,275.37147575184963,284.5987833723136,269.2791958489864,277.5521553722908,-11.142787231491809,,39.13790486176709,44.21501528333127,41.93986998931455,284.32749938964844,304.89595511108,263.75904366821686,,9.819183143116136,31.137206453076423,,0.03302770559020391,-10587000.0,-73.7289271853359,-53.90243902439025,14.24706564145123
2017-08-18,270.70001220703125,274.5,267.5,268.875,267.356689453125,573760,273.3166673448351,283.5916660853795,274.0721806014797,283.1693485202851,268.15892055889316,275.46383683660207,-11.017647083912436,,37.082158501799285,44.93526014732557,43.67679819294989,283.20625,304.5619377332451,261.85056226675493,43.18467073292746,9.403223623063838,31.966521869363746,,0.06524547162176278,-11160760.0,-83.006337644258,-57.974683544303794,13.648482831231984
2017-08-21,270.375,273.25,268.67498779296875,270.1000061035156,268.57476806640625,1074978,272.69444444444446,282.58214314778644,273.2777457018869,281.98122648239695,267.91158974814334,273.89610491733225,-10.696324292406985,,38.56292831078401,44.59507592542449,44.58178378536044,282.125,303.8328298550192,260.4171701449808,44.39356376556113,9.13097130477396,31.040992493964005,248.125,0.112913610575329,-10085782.0,-73.55424949474006,-54.33764965503247,12.907322504636205
2017-08-22,271.3999938964844,272.125,263.8500061035156,264.75,263.25494384765625,943080,270.53611246744794,281.29761904761904,271.57219656150954,280.41475134763357,265.91483248621284,271.64057252960805,-10.749461346722683,,34.71974602406923,41.06406523962403,43.531467104124694,280.70249938964844,303.04042209950404,258.36457667979283,45.79098480899287,8.643504769702185,32.496669322644784,248.6275,0.1311231560848865,-11028862.0,-88.85631378202946,-64.49547108179165,12.532775133118871
2017-08-23,265.8999938964844,266.5,261.0,262.625,261.1419372558594,510576,269.1666666666667,279.8416660853795,269.78275724920763,278.79750122512144,263.8253145391287,269.35074764281444,-10.838107627491695,,33.300175912047756,37.886625487351814,41.18192221746677,278.7824996948242,300.39258150678074,257.17241788286765,47.19889758814619,8.325370052091161,33.20782520092922,249.11995,0.11288674358302109,-11539438.0,-104.66277045547888,-67.50700280112045,11.969449630187336
2017-08-24,263.375,267.5,262.0249938964844,266.42498779296875,264.9205017089844,972048,268.61388821072046,278.19404674711683,269.1112033579599,277.6727272767439,263.80800607689855,268.06224770339435,-10.480915714381695,,38.16869285433664,36.98507926206381,38.64525666301322,277.22874908447267,297.6691925392716,256.78830562967374,48.1670504233065,8.70266714995354,31.947270908102176,249.60255099999998,0.11925132297731629,-10567390.0,-87.56671209342653,-57.04228833089646,11.453716662710919
2017-08-28,266.625,270.625,264.0,268.9750061035156,267.45611572265625,1001376,268.4166666666667,276.83571370442706,269.08396390707105,276.882025351905,264.8196145215109,267.4264058080973,-9.878203601395683,,41.26683393524204,41.464792718303535,38.778832489239726,276.13125,295.8568976536077,256.40560234639236,48.21270773718433,10.515795874365882,30.441453000412753,250.07549998,0.15652699611083204,-9566014.0,-65.2781240658041,-51.056330713072484,11.073298248673687
2017-08-29,265.5,279.3999938964844,265.5,272.3999938964844,270.8617858886719,1649802,268.6611090766059,275.95357113792784,269.74716990495375,276.4745679468667,266.8662551948118,267.5081343570068,-9.020202736210877,-10.584090174096344,45.2359068352706,49.33191276097693,42.59392824711476,275.0387496948242,292.9678763271101,257.10962306253833,46.315878209520456,15.57985957260996,27.51146512750304,250.5389899804,0.18293625021662516,-7916212.0,-22.486667182344544,-43.90564267310029,11.294366700447528
2017-08-30,275.0,278.875,274.2250061035156,275.42498779296875,273.8696594238281,712294,269.0361090766059,275.05714198521207,270.8827334825568,276.37915156923964,269.4864525765256,268.14110614425147,-8.003875448540725,-10.068047228985222,48.54338535000696,60.859223467009876,50.55197631543012,274.04499969482424,289.3887185291321,258.70128086051636,44.62975460023204,14.862238903336257,26.244265257986402,251.69343013704338,0.16263864122445473,-7203918.0,24.239067287376702,-22.460356212797617,10.919994943355574
2017-08-31,274.8999938964844,278.2250061035156,273.0,274.7250061035156,273.17364501953125,580208,269.36666531032984,274.07738095238096,271.65118800674855,276.22877470871924,271.14892690127704,268.60293626734784,-7.172234369911791,-9.488884657170535,47.82362081204224,72.39092431774954,60.86068684857878,273.1337493896484,285.8113193980291,260.4561793812677,43.26835654688087,14.290231097261593,26.136531549699786,252.80169268742102,0.14181732227715704,-7784126.0,30.892280316174027,-16.46122816085346,10.480352431997376
2017-09-01,275.5,285.0,273.7749938964844,276.1499938964844,274.5906066894531,1765988,270.1749979654948,273.27738008045014,272.55094918469575,276.22161281669787,272.8689492426763,269.28252160452263,-6.325254619752911,-8.85615864968701,49.466292219642476,74.7344633983446,69.32820372770134,272.39124908447263,282.21441143247824,262.568086736467,40.724434234811525,18.056729073731763,23.999529619802306,253.86562473578357,0.1242475778434881,-6018138.0,96.9579135254503,-36.8750254313151,10.537508540144982
2017-09-04,277.875,282.1499938964844,271.0249938964844,278.5,276.9273376464844,1182770,271.10833062065973,272.68214198521207,273.74075934775664,276.4287389242708,274.94700752458976,270.3087706473596,-5.40211894832521,-8.165350709414652,52.14220512285436,73.1934710248327,73.43961958030894,272.35374908447267,282.07711106686423,262.6303871020811,38.79896596500883,16.607431554534543,24.057284996818485,255.73368725163655,0.14405711301199647,-4835368.0,88.35321958036828,-27.083333333333336,10.582362691814119
2017-09-05,280.04998779296875,288.25,276.57501220703125,286.57501220703125,284.95672607421875,1989224,273.5333319769965,273.0309520903088,276.30760991961154,277.3511274045217,279.32608891856194,272.6260548621032,-3.9731413778614524,-7.326908843104012,59.983515164946105,76.63163234699027,74.8531889233892,272.825,284.20496180309647,261.4450381969035,36.01788375799628,19.57158465165639,22.056517985146208,257.48966601653837,0.1862462274442801,-2846144.0,177.56839738728686,-6.146744194380737,10.665374669368287
2017-09-06,284.0,289.0,281.79998779296875,283.92498779296875,282.3216857910156,1157354,275.8999972873264,273.35357084728423,277.831085494283,277.94875107619873,281.46464915318046,274.19652483007013,-3.0196920508095104,-6.465465484645112,56.700204779954646,82.88162629191525,77.56890988791275,273.2362487792969,285.55760565136,260.91489190723377,33.38498728887398,19.09238372416835,20.90200371166532,259.9504927352153,0.16689593838526035,-4003498.0,160.3796319552675,-18.12504359654018,10.403285952793771
2017-09-07,285.625,288.0,277.5,279.3500061035156,277.77252197265625,815452,277.3361104329427,273.52738008045014,278.13486961612955,278.0761378968639,281.2847478407247,274.7808293282607,-2.603230951556384,-5.693018578027367,51.46300284502534,80.42131609768782,79.97819157886444,272.99499969482423,284.6194323333552,261.3705670562933,31.613485028258843,17.642098734269513,22.42505043897307,262.85544346169377,0.09062146674185624,-4818950.0,117.26217564283156,-34.464263916015625,10.410569919661965
2017-09-08,280.5,282.75,275.0,277.17498779296875,275.60980224609375,831916,278.2472195095486,273.19404674711683,277.94289325149737,277.99421516014615,280.30921473946773,274.9240048825817,-2.4207830501161993,-5.038571472445133,49.139191132860816,68.39283534458706,77.23192591139671,273.1062484741211,284.84541259767406,261.3670843505682,30.33972178583751,16.637531136654925,22.984957028182393,265.4698991155244,0.03687684356888449,-5650866.0,67.87004007484374,-42.23218645368304,10.210966154867583
2017-09-11,279.375,282.45001220703125,275.5,279.29998779296875,277.7227783203125,697004,279.0138854980469,273.4011884416853,278.21431215979163,278.11292176313003,280.3245044768033,275.42973660442044,-2.0807365968497606,-4.447004497326059,51.44599956848602,62.88688296363467,70.56701146863651,273.5012481689453,285.5126633935262,261.4898329443644,29.181879579299167,15.77029515694787,21.786859692517957,267.82290920397196,0.06827624995885351,-4953862.0,69.59069023696698,-34.64290073939732,9.967196016570394
2017-09-12,280.0,280.2250061035156,275.5249938964844,277.82501220703125,276.2561340332031,468214,279.28055487738715,273.70714169456846,278.13645216923953,278.0867481671211,279.7623180304072,275.6236947537406,-1.9082682075921866,-3.939257239379285,49.75901682669403,61.07141403924851,64.11704411582342,273.85499877929686,285.9379889520141,261.7720086065796,28.127593071854765,15.193522093316954,20.990040502598465,269.94061828357474,-0.11521295307436255,-5422076.0,47.58670047884415,-39.91067068917411,9.574756810326623
2017-09-13,278.45001220703125,280.0,275.5249938964844,278.75,277.1759338378906,476598,279.727776421441,274.0880940755208,278.2591617353917,278.14704378829185,279.6580220772475,275.9627185226467,-1.677608554944527,-3.4869275024923336,50.84754603768382,62.48276357907338,62.14702019398552,274.2824981689453,286.42284621267254,262.1421501252181,27.166092558240482,14.64434254382779,20.23134209704267,271.84655645521724,-0.14824909092094526,-4945478.0,46.269642303676264,-37.998137834208414,9.195958349898449
