Date,Open,High,Low,Close,Adj Close,Volume,SMA_9,SMA_21,EMA_9,EMA_21,DEMA_9,DEMA_21,MACD_Line,MACD_Signal_Line,RSI_14,Stoch_Oscillator_K,Stoch_Oscillator_D,BB_middle,BB_upper,BB_lower,ADX,ADX+DI,ADX-DI,PSAR,CMF,OBV,CCI,Williams_%R,ATR
2017-02-03,769.5,777.2000122070312,760.0,765.2999877929688,761.7176513671875,1562576,768.7611083984375,741.9142862955729,764.6120857794286,742.215172098658,777.0670314777954,749.8536337752665,,,61.43555700212376,62.92114390995729,67.10355471300258,744.0625,796.2531287189129,691.8718712810871,,25.230877870625413,20.266036625922755,,0.20505114305475383,6867483.0,72.31653256613697,-43.75742981680739,20.21042822580127
2017-02-06,770.0,773.75,765.2999877929688,766.7000122070312,763.111083984375,1967556,772.5333319769966,745.1404767717634,765.0296710649492,744.4410666539646,775.327695852059,753.4086632284332,,,62.00412913597657,58.81889318046236,63.115396977003456,746.5550018310547,798.0661516857383,695.0438519763711,,24.276542476429334,19.49949191228403,,0.18541497903262255,8835039.0,66.22916986244746,-42.09271540481343,19.19971311697077
2017-02-07,769.0,784.9500122070312,768.5,773.3499755859375,769.7299194335938,2996111,775.8666653103298,747.8309529622396,766.6937319691469,747.069149284144,776.263400522193,757.610675833824,22.5772363548881,,64.66869531216506,59.98811713140972,60.57605140727645,749.7600006103515,799.5352151456246,699.9847860750784,,27.27595704537345,17.9227402541403,,0.0899028104490317,11831150.0,77.18190903857553,-34.18550338415002,19.119260410784438
2017-02-08,774.4000244140625,776.2000122070312,762.0,767.5999755859375,764.0068359375,2607668,772.7999945746528,750.6095232282366,766.874980692505,748.9355880388525,774.6757145136282,760.2155564973875,21.2981593671268,,60.70459232447488,60.89972571668551,59.90224534285253,752.5074981689453,799.7896288893626,705.225367448528,,25.545111420449082,19.690131377519492,,0.1009355100855883,9223482.0,50.47610612633965,-41.022604060980015,18.70800110167056
2017-02-09,769.9000244140625,779.5,765.0,769.6500244140625,766.0473022460938,1306279,771.0888875325521,753.3238089425223,767.4299894368166,750.818718618417,774.1145834891645,762.7851722894166,20.216856113806557,,61.60818056043583,62.06897385914059,60.98560556907861,754.5699981689453,801.0578830800387,708.0821132578519,29.020446194532738,25.363343259063647,18.405744958975017,,0.09119819261868549,10529761.0,53.326575205498266,-38.584970977448194,18.36043461759781
2017-02-10,771.0999755859375,786.2999877929688,771.0999755859375,778.9000244140625,775.2540893554688,1871296,771.4555596245659,755.7285708472842,769.7239964322658,753.3715645998393,776.9068772705034,766.5709279202227,19.87718141546395,,65.46676688325451,63.809560612200436,62.25942006267551,757.1174987792969,803.0721471944812,711.1628503641125,28.25001384838454,26.518624655747796,17.031892891153063,,0.04925766536696484,12401057.0,70.4977236748617,-28.963743124970478,18.220715928420592
2017-02-13,779.7999877929688,796.0,779.5,793.1500244140625,789.4373168945312,1804668,773.5666707356771,758.8333333333334,774.4092020286253,756.9877882193141,783.9036711763029,772.274685437367,20.521286065873937,,70.40201982540734,73.09653099925505,66.32502182353203,760.3875,806.822795442618,713.9522045573821,28.365973555177504,28.82221702519667,15.733023025214706,739.1500244140625,0.07347813800482021,14205725.0,98.65348587024428,-13.16169289981618,18.130098361115074
2017-02-14,793.9000244140625,796.3499755859375,785.9500122070312,790.2999877929688,786.6006469726562,1338969,775.0388929578993,761.8119041806176,777.587359181494,760.0161699987373,787.725460221931,776.6664236328064,20.564712302935618,,68.29964155264618,79.70984436144079,72.20531199096543,763.3424987792969,809.4931010306283,717.1918965279655,28.493304714646552,27.611162114658015,14.984564314665596,740.2870239257812,0.07699554761439498,12866756.0,98.61779767304742,-18.745030890890966,17.51091431297528
2017-02-15,791.2000122070312,795.0,781.75,784.2999877929688,780.628662109375,1360744,776.5833333333334,764.3404744466146,778.9298849037889,762.2237897982128,788.1143863139744,779.3673111014352,19.88574753364844,,63.96873328926807,79.93895460626906,77.58177665565496,766.2574981689453,809.9019712271604,722.6130251107302,28.02240694203033,25.91936317887469,16.008647255314106,742.5295419921874,0.05403309782455016,11506012.0,83.45790429183839,-28.27641239048568,17.172549066781563
2017-02-16,785.0,798.5,780.25,792.5,788.7904052734375,2256205,779.6055569118923,767.5071411132812,781.6439079230312,764.9761725438298,791.1627274665734,783.0633580427747,19.781308901478383,,67.04438991430897,80.95634425406205,80.20171440725731,769.3274993896484,811.2520017741065,727.4029970051904,27.8959674844319,25.35772205290238,14.674907468027143,744.6823593359375,0.07807518083533682,13762217.0,95.4769279074582,-10.109523956437227,17.25743335464694
